Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1060000,000002C0,FALSE,Rx,0,8,0,80,0,0,53,C0,FE,43
1060001,000005DC,FALSE,Rx,0,8,F7,1E,50,7F,1C,10,21,C9
1060002,448,FALSE,Rx,0,5,52,0,0,0C,A0,0,0,0
1060003,000000C2,FALSE,Rx,0,8,72,0,0,0,80,40,F7,4D
1060004,392,FALSE,Rx,0,8,89,1,7,A3,3,0,0,0
1060005,000001A0,FALSE,Rx,0,8,0,40,38,2D,0,FE,0,13
1060006,280,FALSE,Rx,0,8,0,28,C5,1C,23,1A,1D,23
1060007,000000AE,FALSE,Rx,0,8,33,30,0,0,0,0,3,0
1060008,320,FALSE,Rx,0,8,24,30,26,31,2D,87,30,80
1060009,000002A0,FALSE,Rx,0,8,0,0,0,24,0,0,30,14
1060010,380,FALSE,Rx,0,8,20,5E,0,0,80,0,0,0
1060011,488,FALSE,Rx,0,8,45,23,28,7E,A0,FF,FF,90
1060012,000004A0,FALSE,Rx,0,8,32,2D,3C,2D,C6,2C,C2,2C
1060013,440,FALSE,Rx,0,8,10,55,25,FE,7F,0,48,3
1060014,540,FALSE,Rx,0,8,95,0,FF,0,FF,0,0,56
1060015,548,FALSE,Rx,0,3,51,0,0,0,0,0,0,0
1060016,0000038A,FALSE,Rx,0,4,65,81,E4,0,0,0,0,0
1060017,000000D0,FALSE,Rx,0,6,39,C2,3,38,20,E0,0,0
1060018,480,FALSE,Rx,0,8,5C,0,27,BF,1A,0,6,D8
1060019,284,FALSE,Rx,0,6,5,5,0,0,0,0,0,0
1060020,588,FALSE,Rx,0,8,E2,23,7E,82,0,1,0,57
1060021,000002C0,FALSE,Rx,0,8,0,80,0,0,53,C0,FE,53
1060022,000005C0,FALSE,Rx,0,8,0A,0,80,A6,6C,0,0,40
1060023,000003A0,FALSE,Rx,0,8,F0,0A,C7,2D,96,85,0C,0F
1060024,448,FALSE,Rx,0,5,52,0,0,0D,A0,0,0,0
1060025,000000C2,FALSE,Rx,0,8,72,0,0,0,80,50,D2,3D
1060026,000000D2,FALSE,Tx,128,5,5C,78,A0,80,4,0,0,0
1060027,50,FALSE,Rx,0,4,0,F0,20,D0,0,0,0,0
1060028,000001A0,FALSE,Rx,0,8,0,40,34,2D,0,FE,0,14
1060029,000000AE,FALSE,Rx,0,8,43,40,0,0,0,0,3,0
1060030,280,FALSE,Rx,0,8,0,28,DB,1C,23,1A,1D,23
1060031,000001AC,FALSE,Rx,0,8,7B,0A,0,0,69,21,F8,C1
1060032,288,FALSE,Rx,0,8,73,89,70,4,0,4B,D1,17
1060033,000002A0,FALSE,Rx,0,8,0,0,0,24,0,0,40,64
1060034,368,FALSE,Rx,0,8,82,19,89,89,85,0A,14,0
1060035,380,FALSE,Rx,0,8,20,5E,0,0,80,0,0,0
1060036,488,FALSE,Rx,0,8,75,23,28,7E,A0,FF,FF,A0
