Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1000001,280,FALSE,Rx,0,8,1,10,D8,16,0F,0,16,6
1000002,284,FALSE,Rx,0,6,74,050,4,20,0,0,0,0
1000003,288,FALSE,Rx,0,8,36,BA,78,0,0,050,B7,7
1000004,2A0,FALSE,Rx,0,8,0,0,0,64,0,0,30,54
1000005,380,FALSE,Rx,0,8,0,85,0,4F,0,0,0,5
1000006,38A,FALSE,Rx,0,4,18,80,B8,20,0,0,0,0
1000007,3D0,FALSE,Rx,0,6,1,0,8,0,C8,80,0,0
1000008,3D2,FALSE,Rx,0,7,A3,11,33,80,1,0,0,0
1000009,480,FALSE,Rx,0,8,19,0,2,94,56,8,6,D7
1000010,440,FALSE,Rx,0,8,30,53,32,FE,7F,0,4,2
1000011,488,FALSE,Rx,0,8,9C,6,10,7E,95,FF,FF,61
1000012,48A,FALSE,Rx,0,8,E7,E4,1,2,0,0,0,0
1000013,4A0,FALSE,Rx,0,8,CE,1B,E2,1B,B2,1B,BE,1B
1000014,368,FALSE,Rx,0,8,CD,18,89,4B,5,0,12,0
1000015,588,FALSE,Rx,0,8,E9,050,7E,82,0C,80,4,96
1000016,540,FALSE,Rx,0,8,0,0,FF,0,FF,0,2,56
1000017,44C,FALSE,Rx,0,8,3F,B3,45,96,58,2,5,0
1000018,320,FALSE,Rx,0,8,20,20,0E,CD,1B,CD,1B,91
1000019,0AE,FALSE,Rx,0,8,4B,48,0,0,0,0,3,0
1000020,0C2,FALSE,Rx,0,8,44,0,FE,1,80,40,7A,7C
1000021,0D0,FALSE,Rx,0,6,51,A2,3C,38,17,E0,0,0
1000022,1A0,FALSE,Rx,0,8,0,40,D6,1B,FE,FE,0,14
1000023,280,FALSE,Rx,0,8,1,10,D8,16,0F,0,16,6
1000024,1AC,FALSE,Rx,0,8,E9,1A,0,0,69,A1,FA,C1
1000025,380,FALSE,Rx,0,8,0,85,0,4E,0,0,0,5
1000026,2A0,FALSE,Rx,0,8,0,0,0,64,0,0,40,24
1000027,050,FALSE,Rx,0,4,0,B9,EC,55,0,0,0,0
1000028,3A0,FALSE,Rx,0,8,B5,0A,9B,D6,3E,C9,6,3
1000029,488,FALSE,Rx,0,8,8A,6,10,7E,93,FF,FF,71
1000030,4A0,FALSE,Rx,0,8,D0,1B,DC,1B,B6,1B,C0,1B
1000031,440,FALSE,Rx,0,8,30,53,32,FE,7F,0,0C,2
1000032,4A8,FALSE,Rx,0,8,43,0,3,80,80,0,A4,E4
1000033,5A0,FALSE,Rx,0,8,80,F0,12,A0,0,B0,1E,AB
1000034,56A,FALSE,Rx,0,8,FC,3,8,28,10,0F,0,C0
1000035,366,FALSE,Rx,0,8,5C,0C,0,0,0,0,80,D0
1000036,540,FALSE,Rx,0,8,10,0,FF,0,FF,0,2,56
1000037,572,FALSE,Rx,0,1,7,0,0,0,0,0,0,0
1000038,520,FALSE,Rx,0,8,77,C4,1,C1,16,15,92,2
1000039,0D2,FALSE,Rx,0,5,36,32,0,0,4,0,0,0
1000040,3D4,FALSE,Rx,0,8,C3,84,47,0,8,0,0,0
1000041,0AE,FALSE,Rx,0,8,5B,58,0,0,0,0,3,0
1000042,397,FALSE,Rx,0,8,6,6,0,0,0,0,0,0
1000043,0C2,FALSE,Rx,0,8,66,0,42,2,80,050,8C,5
