Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1020000,488,FALSE,Rx,0,8,23,34,34,7F,9E,FF,0D,30
1020001,0000048A,FALSE,Rx,0,8,D6,A5,1,2,0,0,0,70
1020002,000000D2,FALSE,Rx,0,5,3C,38,0,0,4,0,0,0
1020003,588,FALSE,Rx,0,8,E9,61,7F,0,20,80,4,95
1020004,000003B2,FALSE,Rx,0,8,0,80,47,2,0,0,0,0
1020005,000000AE,FALSE,Rx,0,8,4B,48,0,0,0,0,3,0
1020006,000001A0,FALSE,Rx,0,8,0,40,12,2C,FE,FE,0,14
1020007,000001AC,FALSE,Rx,0,8,94,2,10,0,65,21,0,C2
1020008,000002A0,FALSE,Rx,0,8,0,0,0,64,0,0,40,24
1020009,000003A0,FALSE,Rx,0,8,D3,2,73,43,F4,8D,9B,3
1020010,000003D4,FALSE,Rx,0,8,42,87,45,80,8,0,0,0
1020011,000004A0,FALSE,Rx,0,8,0A,2C,1C,2C,E8,2B,C6,2B
1020012,000004A8,FALSE,Rx,0,8,30,0,3,80,80,20,20,33
1020013,0000056A,FALSE,Rx,0,8,1E,3,8,38,10,0D,0,30
1020014,366,FALSE,Rx,0,8,53,3,0,0,0,0,80,D0
1020015,420,FALSE,Rx,0,8,1C,A7,AB,0,18,64,FF,0
1020016,000005A0,FALSE,Rx,0,8,82,FC,1D,20,0,A2,9,AB
1020017,000000D0,FALSE,Rx,0,6,B8,43,27,38,14,F0,0,0
1020018,000000C2,FALSE,Rx,0,8,44,80,0,0,80,E0,E7,5B
1020019,000003D2,FALSE,Rx,0,7,B2,0,33,80,1,0,0,0
1020020,0000038A,FALSE,Rx,0,4,18,80,B8,20,0,0,0,0
1020021,000002B7,FALSE,Rx,0,8,11,1,0,0,0,0,10,0
1020022,440,FALSE,Rx,0,8,30,55,1B,FE,80,0,7C,3
1020023,540,FALSE,Rx,0,8,F0,0,FF,0,FF,0,2,0F
1020024,280,FALSE,Rx,0,8,0,34,D0,13,34,3D,1A,34
1020025,380,FALSE,Rx,0,8,0,8F,0,90,0,0,0,0F
1020026,488,FALSE,Rx,0,8,78,34,34,7F,9E,FF,26,40
1020027,0000044C,FALSE,Rx,0,8,72,F3,44,8A,58,2,5,10
1020028,000000AE,FALSE,Rx,0,8,5B,58,0,0,0,0,3,0
