Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18445088912536061568,000002A0,false,Rx,0,8,00,00,00,64,00,00,E0,84,
18445088912536061835,000004A0,false,Rx,0,8,68,0A,4E,0A,62,0A,48,0A,
18445088912536062078,000002B7,false,Rx,0,8,1D,0D,00,00,00,00,10,00,
18445088912536062968,000000D2,false,Rx,0,5,32,36,00,00,04,00,00,00,
18445088912536063198,000000C2,false,Rx,0,8,44,80,44,00,80,90,E3,67,
18445088912536063403,000000D0,false,Rx,0,6,2A,FD,0C,38,13,F0,00,00,
18445088912536063608,000003D0,false,Rx,0,6,00,00,08,00,C8,86,00,00,
18445088912536063870,0000048C,false,Rx,0,8,17,10,07,00,00,00,00,00,
18445088912536064621,00000420,false,Rx,0,8,9C,A4,AC,00,18,41,FF,00,
18445088912536067021,00000440,false,Rx,0,8,20,52,50,FE,78,00,44,02,
18445088912536067263,00000540,false,Rx,0,8,80,00,FF,00,FF,00,02,56,
18445088912536068247,0000038A,false,Rx,0,4,A8,80,08,20,00,00,00,00,
18445088912536070325,00000280,false,Rx,0,8,01,18,44,0D,1A,00,1B,1A,
18445088912536070530,00000284,false,Rx,0,6,63,57,04,30,00,00,00,00,
18445088912536070775,000000AE,false,Rx,0,8,FB,F8,00,00,00,00,03,00,
18445088912536070944,00000050,false,Rx,0,4,00,B0,F4,44,00,00,00,00,
18445088912536071187,000001A0,false,Rx,0,8,00,40,5A,0A,FE,FE,00,1F,
18445088912536071420,00000288,false,Rx,0,8,4E,BD,78,00,00,50,ED,0C,
18445088912536071656,000001AC,false,Rx,0,8,81,17,10,00,65,21,00,C2,
18445088912536071900,00000380,false,Rx,0,8,00,94,00,BA,00,00,00,06,
18445088912536072142,000002A0,false,Rx,0,8,00,00,00,64,00,00,F0,94,
18445088912536072373,0000044C,false,Rx,0,8,AF,67,43,94,58,02,05,40,
18445088912536072606,000003A0,false,Rx,0,8,BD,07,B2,10,21,A5,9F,03,
18445088912536072847,00000480,false,Rx,0,8,70,00,FB,F2,7F,08,06,08,
18445088912536073078,000000C2,false,Rx,0,8,44,80,22,00,80,A0,9B,79,
18445088912536073277,000000D0,false,Rx,0,6,D6,0E,04,38,14,F0,00,00,
18445088912536073503,000003D2,false,Rx,0,7,BE,0C,33,80,01,00,00,00,
18445088912536073741,00000488,false,Rx,0,8,FD,1A,18,80,9E,FF,FF,E1,
18445088912536073983,0000048A,false,Rx,0,8,50,23,01,02,00,00,00,70,
18445088912536074229,0000048C,false,Rx,0,8,06,01,07,00,00,00,00,00,
18445088912536074464,00000368,false,Rx,0,8,40,12,89,83,05,07,5A,00,
18445088912536074697,000004A0,false,Rx,0,8,58,0A,5E,0A,68,0A,44,0A,
18445088912536074930,00000588,false,Rx,0,8,E1,78,80,02,14,80,04,95,
18445088912536075174,000004A8,false,Rx,0,8,18,00,07,80,00,20,70,CF,
18445088912536075412,000005E0,false,Rx,0,8,30,00,40,1C,49,83,07,FB,
18445088912536075644,00000320,false,Rx,0,8,20,40,12,65,0A,85,0A,81,
18445088912536075878,000005A0,false,Rx,0,8,7D,0A,07,70,00,79,1B,AB,
18445088912536076127,000003B2,false,Rx,0,8,00,80,47,02,00,00,00,00,
18445088912536077116,00000440,false,Rx,0,8,20,52,50,FE,78,00,4C,02,
18445088912536077356,00000540,false,Rx,0,8,90,00,FF,00,FF,00,02,56,
18445088912536078473,000003D4,false,Rx,0,8,40,82,42,80,08,00,00,00,
18445088912536078714,000005C0,false,Rx,0,8,00,00,00,A6,2D,00,08,83,
18445088912536080415,00000280,false,Rx,0,8,01,18,44,0D,1A,00,1B,1A,
18445088912536080661,000000AE,false,Rx,0,8,0B,08,00,00,00,00,03,00,
18445088912536080907,00000380,false,Rx,0,8,00,94,00,BA,00,00,00,06,
18445088912536081151,000001A0,false,Rx,0,8,00,40,5E,0A,FE,FE,00,10,
18445088912536081388,00000488,false,Rx,0,8,E2,1A,17,80,9E,FF,FF,F1,
18445088912536081634,000002A0,false,Rx,0,8,00,00,00,64,00,00,00,64,
18445088912536081915,000004A0,false,Rx,0,8,58,0A,64,0A,3C,0A,44,0A,
18445088912536082554,000000D2,false,Rx,0,5,33,37,00,00,04,00,00,00,
18445088912536083013,000000D0,false,Rx,0,6,C2,1F,05,3C,14,F0,00,00,
18445088912536083249,000000C2,false,Rx,0,8,44,80,22,80,80,B0,7F,E9,
18445088912536083455,000003D0,false,Rx,0,6,00,00,08,00,C8,86,00,00,
18445088912536083701,0000048C,false,Rx,0,8,05,02,07,00,00,00,00,00,
18445088912536084461,00000366,false,Rx,0,8,59,09,00,00,00,00,80,D0,
18445088912536084691,000005D2,false,Rx,0,8,01,43,54,37,41,33,30,48,
18445088912536084925,0000056A,false,Rx,0,8,BE,03,10,20,10,0D,00,90,
18445088912536087042,00000440,false,Rx,0,8,20,52,50,FE,78,00,54,02,
18445088912536087280,00000540,false,Rx,0,8,A0,00,FF,00,FF,00,02,56,
18445088912536088315,000005CA,false,Rx,0,8,0D,0D,00,00,00,00,00,00,
18445088912536090303,00000280,false,Rx,0,8,01,17,2C,0D,1A,00,1B,1A,
18445088912536090505,00000284,false,Rx,0,6,6C,58,04,30,00,00,00,00,
18445088912536090752,000000AE,false,Rx,0,8,1B,18,00,00,00,00,03,00,
18445088912536090921,00000050,false,Rx,0,4,00,B0,04,B4,00,00,00,00,
18445088912536091163,000001A0,false,Rx,0,8,00,40,58,0A,FE,FE,00,11,
18445088912536091395,00000288,false,Rx,0,8,8A,BD,78,00,00,50,ED,0C,
18445088912536091631,000001AC,false,Rx,0,8,70,18,10,00,65,21,FD,C1,
18445088912536091879,00000380,false,Rx,0,8,00,94,00,B9,00,00,00,06,
18445088912536092123,000002A0,false,Rx,0,8,00,00,00,64,00,00,10,74,
18445088912536092354,0000044C,false,Rx,0,8,B4,6C,43,94,58,02,05,50,
18445088912536092590,000003A0,false,Rx,0,8,06,08,B5,1C,61,65,A0,03,
18445088912536092830,00000480,false,Rx,0,8,84,00,08,F3,7F,08,06,0E,
18445088912536093063,000000C2,false,Rx,0,8,44,80,44,80,80,C0,93,B7,
18445088912536093264,000000D0,false,Rx,0,6,FB,20,03,3C,14,F0,00,00,
18445088912536093497,00000488,false,Rx,0,8,F7,1A,17,80,9E,FF,1A,01,
18445088912536093735,0000048A,false,Rx,0,8,A0,23,01,02,00,00,00,80,
18445088912536093969,000004A0,false,Rx,0,8,58,0A,58,0A,66,0A,3C,0A,
18445088912536094201,00000588,false,Rx,0,8,E1,78,80,86,14,80,04,95,
18445088912536094435,00000368,false,Rx,0,8,41,13,89,83,05,07,5A,00,
18445088912536094669,00000320,false,Rx,0,8,20,40,12,57,0A,46,0A,81,
18445088912536094914,000004A8,false,Rx,0,8,18,00,07,80,00,20,80,3F,
18445088912536095222,000005A0,false,Rx,0,8,7D,0A,07,80,00,7C,1B,AB,
18445088912536095522,000005B7,false,Rx,0,8,D4,D4,00,00,00,00,00,00,
18445088912536095946,00000572,false,Rx,0,1,07,00,00,00,00,00,00,00,
18445088912536097062,00000440,false,Rx,0,8,20,52,50,FE,78,00,5C,02,
18445088912536097304,00000540,false,Rx,0,8,B0,00,FF,00,FF,00,02,56,
18445088912536097547,00000397,false,Rx,0,8,02,0A,08,00,00,00,00,00,
18445088912536097795,0000048C,false,Rx,0,8,04,03,07,00,00,00,00,00,
18445088912536098072,0000038A,false,Rx,0,4,B8,80,18,20,00,00,00,00,
18445088912536099766,000003D4,false,Rx,0,8,41,83,42,80,08,00,00,00,
18445088912536100367,00000280,false,Rx,0,8,01,18,2C,0D,1A,00,1B,1A,
18445088912536100614,000000AE,false,Rx,0,8,2B,28,00,00,00,00,03,00,
18445088912536100859,00000380,false,Rx,0,8,00,94,00,B9,00,00,00,06,
18445088912536101099,000001A0,false,Rx,0,8,00,40,5E,0A,FE,FE,00,12,
18445088912536101335,00000488,false,Rx,0,8,ED,1A,18,80,9E,FF,1F,11,
18445088912536101578,000002A0,false,Rx,0,8,00,00,00,64,00,00,20,44,
