Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1000001,000002A0,FALSE,Rx,0,8,0,0,0,64,0,0,30,54
1000002,000002B7,FALSE,Rx,0,8,17,7,0,0,0,0,10,0
1000003,397,FALSE,Rx,0,8,8,0,8,0,0,0,0,0
1000004,000004A0,FALSE,Rx,0,8,9A,55,6A,55,EA,54,10,55
1000005,280,FALSE,Rx,0,8,0,5D,50,1E,5D,56,11,5C
1000006,284,FALSE,Rx,0,6,6,6,0,0,0,0,0,0
1000007,288,FALSE,Rx,0,8,4E,BF,78,0,0,50,B6,13
1000008,380,FALSE,Rx,0,8,0,73,0,CB,0,0,0,32
1000009,480,FALSE,Rx,0,8,70,0,35,8F,1D,8,6,D9
1000010,488,FALSE,Rx,0,8,79,5C,5D,7E,A6,FF,FF,A0
1000011,0000048A,FALSE,Rx,0,8,1D,7D,2,2,0,0,0,60
1000012,588,FALSE,Rx,0,8,E9,38,7E,81,31,80,4,98
1000013,540,FALSE,Rx,0,8,20,0,FF,0,FF,0,2,56
1000014,000000C2,FALSE,Rx,0,8,22,80,0,0,80,50,6B,0D
1000015,000000D0,FALSE,Rx,0,6,51,B2,2E,38,5,F0,0,0
1000016,000003D4,FALSE,Rx,0,8,13,81,12,80,8,0,0,0
1000017,368,FALSE,Rx,0,8,5A,10,89,C0,5,1F,19,0
1000018,440,FALSE,Rx,0,8,30,58,15,FE,80,0,9C,5
1000019,000000AE,FALSE,Rx,0,8,4B,48,0,0,0,0,3,0
1000020,000001A0,FALSE,Rx,0,8,0,40,76,55,FE,FE,0,14
1000021,520,FALSE,Rx,0,8,61,43,1,D4,42,48,E1,2
1000022,000001AC,FALSE,Rx,0,8,85,2,10,0,72,21,6,C2
1000023,000002A0,FALSE,Rx,0,8,0,0,0,64,0,0,40,24
1000024,000003A0,FALSE,Rx,0,8,DF,2,A1,85,E7,A8,B5,3
1000025,000004A0,FALSE,Rx,0,8,82,55,6C,55,20,55,FC,54
1000026,0000038A,FALSE,Rx,0,4,8,80,A8,20,0,0,0,0
1000027,000004A8,FALSE,Rx,0,8,45,0,3,80,0,20,20,C6
1000028,0000044C,FALSE,Rx,0,8,3E,92,47,94,58,2,5,20
1000029,000005A0,FALSE,Rx,0,8,80,28,3A,20,0,9F,19,AB
1000030,280,FALSE,Rx,0,8,0,5C,50,1E,5C,56,11,5C
1000031,380,FALSE,Rx,0,8,0,73,0,C9,0,0,0,31
1000032,000000D2,FALSE,Rx,0,5,3D,39,0,0,4,0,0,0
1000033,488,FALSE,Rx,0,8,68,5C,5C,7E,A6,FF,FF,B0
1000034,540,FALSE,Rx,0,8,30,0,FF,0,FF,0,2,56
1000035,000000C2,FALSE,Rx,0,8,22,80,0,0,80,60,4,FD
1000036,000000D0,FALSE,Rx,0,6,27,C3,29,38,5,F0,0,0
1000037,000003D0,FALSE,Rx,0,6,0,0,8,0,C8,7F,0,0
1000038,50,FALSE,Rx,0,4,0,B0,64,D4,0,0,0,0
1000039,000005C0,FALSE,Rx,0,8,0F,0,0,A6,21,0,0,88
1000040,0000056A,FALSE,Rx,0,8,64,3,4,71,10,2,0,0
1000041,440,FALSE,Rx,0,8,30,58,15,FE,80,0,A4,5
1000042,366,FALSE,Rx,0,8,50,0,0,0,0,0,80,D0
1000043,000000AE,FALSE,Rx,0,8,5B,58,0,0,0,0,3,0
1000044,000001A0,FALSE,Rx,0,8,0,40,6A,55,FE,FE,0,15
1000045,000002A0,FALSE,Rx,0,8,0,0,0,64,0,0,50,34
1000046,320,FALSE,Rx,0,8,20,10,24,77,55,8E,55,81
1000047,000004A0,FALSE,Rx,0,8,62,55,72,55,EA,54,18,55
1000048,280,FALSE,Rx,0,8,0,5C,50,1E,5C,55,11,5C
1000049,284,FALSE,Rx,0,6,7,7,0,0,0,0,0,0
1000050,288,FALSE,Rx,0,8,4E,BF,78,0,0,50,B6,13
1000051,380,FALSE,Rx,0,8,0,73,0,C9,0,0,0,31
1000052,480,FALSE,Rx,0,8,70,0,5B,8F,1D,8,6,B7
1000053,488,FALSE,Rx,0,8,18,5C,5C,7E,A6,FF,FF,C0
1000054,0000048A,FALSE,Rx,0,8,0D,7D,2,2,0,0,0,70
1000055,588,FALSE,Rx,0,8,E9,38,7E,0,31,80,4,98
1000056,540,FALSE,Rx,0,8,40,0,FF,0,FF,0,2,0F
1000057,000000C2,FALSE,Rx,0,8,22,80,44,80,80,70,1F,29
1000058,000000D0,FALSE,Rx,0,6,39,D4,20,38,5,F0,0,0
1000059,000003D2,FALSE,Rx,0,7,B7,5,33,80,1,0,0,0
1000060,000003D4,FALSE,Rx,0,8,10,82,12,80,8,0,0,0
1000061,368,FALSE,Rx,0,8,48,11,89,C0,5,1F,0A,0
1000062,440,FALSE,Rx,0,8,30,58,15,FE,80,0,AC,5
1000063,000000AE,FALSE,Rx,0,8,6B,68,0,0,0,0,3,0
1000064,000001A0,FALSE,Rx,0,8,0,40,6A,55,FE,FE,0,16
1000065,000001AB,FALSE,Rx,0,8,3,3,0,0,0,0,0,0
1000066,000001AC,FALSE,Rx,0,8,9B,3,10,0,6D,21,6,C2
1000067,000002A0,FALSE,Rx,0,8,0,0,0,64,0,0,60,4
1000068,000003A0,FALSE,Rx,0,8,B7,3,BB,ED,77,2A,BC,3
1000069,000004A0,FALSE,Rx,0,8,40,55,92,55,20,55,18,55
1000070,721,FALSE,Rx,0,7,8,1,1,0,0,0,0,0
